能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
B,B,39.0,47.0,50.0,56.0,,,74.0,56.0,21.0,54.0
B,－,55.0,46.0,,54.0,66.0,21.0,50.0,54.0,34.0,44.0
B,D,54.0,65.0,52.0,46.0,33.0,45.0,47.0,,,
A,－,,59.0,48.0,38.0,32.0,61.0,,17.0,47.0,45.0
B,－,53.0,37.0,60.0,36.0,33.0,57.0,62.0,46.0,26.0,45.0
A,B,,50.0,31.0,64.0,44.0,48.0,68.0,7.0,,45.0
,－,63.0,49.0,,34.0,,31.0,57.0,,23.0,43.0
,D,51.0,53.0,56.0,45.0,32.0,45.0,54.0,13.0,11.0,44.0
B,D,49.0,47.0,51.0,41.0,40.0,45.0,19.0,,20.0,57.0
B,C,52.0,48.0,52.0,48.0,25.0,36.0,45.0,23.0,29.0,43.0
B,D,59.0,88.0,,42.0,59.0,,24.0,62.0,,43.0
,D,59.0,,22.0,,31.0,38.0,56.0,47.0,27.0,51.0
A,A,40.0,,39.0,28.0,24.0,33.0,,45.0,49.0,50.0
A,C,45.0,,59.0,,64.0,46.0,50.0,63.0,47.0,47.0
,S,51.0,51.0,58.0,48.0,,16.0,56.0,20.0,,48.0
B,D,67.0,,,48.0,49.0,,56.0,49.0,41.0,
A,A,36.0,70.0,78.0,50.0,,48.0,74.0,,21.0,62.0
B,B,,45.0,50.0,,36.0,53.0,,,,50.0
B,B,,33.0,,42.0,54.0,66.0,30.0,62.0,,77.0
A,D,39.0,35.0,61.0,27.0,34.0,,23.0,39.0,12.0,
A,－,79.0,48.0,,47.0,25.0,43.0,60.0,,,53.0
A,D,62.0,82.0,47.0,55.0,43.0,14.0,64.0,28.0,51.0,50.0
B,D,54.0,69.0,54.0,51.0,,28.0,34.0,59.0,10.0,55.0
,D,61.0,40.0,,47.0,25.0,32.0,55.0,21.0,16.0,62.0
B,S,,46.0,38.0,53.0,45.0,43.0,55.0,60.0,36.0,48.0
A,S,53.0,41.0,49.0,36.0,,36.0,29.0,47.0,10.0,60.0
A,B,43.0,44.0,45.0,41.0,,58.0,57.0,,20.0,
B,D,56.0,46.0,31.0,,,53.0,,46.0,22.0,46.0
B,B,35.0,54.0,33.0,45.0,52.0,40.0,69.0,21.0,17.0,44.0
B,A,,,56.0,28.0,38.0,23.0,58.0,62.0,50.0,
A,C,72.0,47.0,41.0,33.0,25.0,59.0,,44.0,37.0,
B,B,51.0,82.0,31.0,,,30.0,74.0,,30.0,
B,A,59.0,38.0,48.0,29.0,60.0,41.0,70.0,74.0,30.0,58.0
A,S,45.0,66.0,,,56.0,,47.0,58.0,26.0,55.0
A,B,62.0,,44.0,27.0,39.0,55.0,63.0,,28.0,40.0
A,A,27.0,62.0,26.0,50.0,51.0,,61.0,,40.0,60.0
B,－,62.0,82.0,41.0,,23.0,37.0,15.0,15.0,21.0,57.0
B,A,41.0,70.0,57.0,,,28.0,74.0,,15.0,37.0
A,－,46.0,49.0,48.0,38.0,39.0,30.0,71.0,53.0,46.0,
,A,41.0,95.0,,47.0,28.0,19.0,63.0,,32.0,79.0
B,C,77.0,,,30.0,37.0,31.0,37.0,46.0,,49.0
B,A,66.0,59.0,46.0,,,24.0,47.0,23.0,36.0,59.0
B,B,39.0,54.0,47.0,29.0,35.0,20.0,35.0,,20.0,50.0
A,－,49.0,,60.0,45.0,,58.0,57.0,16.0,,53.0
,S,36.0,61.0,52.0,43.0,,33.0,63.0,49.0,25.0,53.0
B,C,65.0,66.0,39.0,42.0,59.0,34.0,24.0,7.0,10.0,57.0
,D,30.0,83.0,,49.0,25.0,24.0,45.0,23.0,40.0,66.0
A,C,30.0,,46.0,47.0,29.0,,62.0,27.0,,49.0
A,C,,39.0,47.0,,,20.0,,63.0,55.0,53.0
B,S,69.0,52.0,53.0,35.0,54.0,16.0,68.0,,47.0,
A,S,30.0,,22.0,28.0,30.0,37.0,42.0,62.0,,
A,C,52.0,37.0,56.0,,39.0,52.0,,54.0,62.0,46.0
,C,44.0,,51.0,,,,,30.0,,
C,S,,48.0,26.0,28.0,39.0,61.0,37.0,62.0,42.0,
B,D,47.0,34.0,40.0,50.0,37.0,19.0,,62.0,32.0,46.0
A,－,35.0,43.0,,26.0,58.0,,56.0,66.0,28.0,50.0
B,S,32.0,40.0,45.0,44.0,34.0,32.0,65.0,65.0,36.0,
B,A,27.0,,31.0,,28.0,66.0,,,28.0,60.0
,B,73.0,,28.0,46.0,,42.0,,67.0,42.0,35.0
A,D,46.0,65.0,43.0,,29.0,37.0,52.0,29.0,39.0,71.0
B,－,,36.0,56.0,55.0,40.0,68.0,56.0,,47.0,62.0
,S,48.0,55.0,43.0,55.0,32.0,49.0,69.0,15.0,46.0,
B,B,,26.0,43.0,65.0,40.0,52.0,16.0,43.0,16.0,31.0
A,B,28.0,,58.0,43.0,42.0,72.0,45.0,,,30.0
,－,35.0,72.0,28.0,38.0,,38.0,60.0,63.0,15.0,
A,A,27.0,44.0,37.0,47.0,50.0,21.0,59.0,55.0,30.0,58.0
A,D,42.0,,,,26.0,39.0,62.0,20.0,25.0,34.0
B,－,51.0,33.0,45.0,,,18.0,55.0,,,59.0
B,A,55.0,66.0,35.0,,51.0,20.0,44.0,61.0,10.0,56.0
B,S,44.0,,22.0,31.0,49.0,51.0,,25.0,,
B,－,34.0,53.0,49.0,47.0,29.0,,56.0,72.0,10.0,49.0
B,C,41.0,,56.0,27.0,29.0,33.0,59.0,59.0,14.0,46.0
,D,37.0,,41.0,44.0,42.0,44.0,,11.0,23.0,37.0
C,C,42.0,,22.0,33.0,38.0,21.0,53.0,,38.0,57.0
B,－,30.0,,68.0,42.0,52.0,19.0,46.0,42.0,23.0,43.0
C,－,54.0,35.0,51.0,36.0,38.0,,70.0,65.0,28.0,27.0
C,B,48.0,45.0,30.0,,,,,63.0,31.0,60.0
B,S,46.0,28.0,35.0,35.0,35.0,52.0,55.0,56.0,12.0,53.0
B,D,46.0,36.0,63.0,,43.0,72.0,48.0,34.0,24.0,65.0
,S,,49.0,25.0,27.0,28.0,68.0,65.0,,,
B,D,27.0,45.0,,,41.0,,52.0,,25.0,61.0
,A,58.0,27.0,36.0,36.0,26.0,,55.0,35.0,47.0,60.0
C,S,49.0,,42.0,29.0,,,,63.0,,58.0
B,A,,88.0,,37.0,36.0,30.0,52.0,,,52.0
C,S,,48.0,26.0,,34.0,54.0,31.0,36.0,43.0,57.0
,D,52.0,53.0,58.0,45.0,,31.0,61.0,15.0,26.0,37.0
B,A,46.0,56.0,,52.0,34.0,51.0,60.0,16.0,,56.0
A,C,,64.0,35.0,26.0,47.0,37.0,,,19.0,54.0
C,B,40.0,84.0,46.0,43.0,51.0,30.0,31.0,38.0,20.0,60.0
A,D,38.0,61.0,54.0,,28.0,50.0,68.0,9.0,66.0,66.0
A,D,,58.0,49.0,,,14.0,61.0,45.0,,52.0
A,B,66.0,,50.0,44.0,60.0,36.0,,20.0,59.0,50.0
B,S,36.0,42.0,31.0,44.0,33.0,52.0,74.0,69.0,26.0,59.0
B,S,62.0,61.0,24.0,,25.0,46.0,70.0,,13.0,63.0
B,B,,60.0,28.0,,50.0,16.0,59.0,,39.0,56.0
A,D,,94.0,,55.0,42.0,20.0,41.0,7.0,10.0,51.0
B,D,39.0,,38.0,50.0,39.0,34.0,52.0,16.0,12.0,
B,S,44.0,,27.0,41.0,28.0,33.0,54.0,69.0,17.0,60.0
B,S,55.0,47.0,56.0,29.0,27.0,31.0,74.0,49.0,17.0,66.0
B,C,28.0,,59.0,,33.0,41.0,59.0,67.0,14.0,61.0
,S,36.0,52.0,,51.0,37.0,,56.0,,57.0,59.0
B,D,46.0,,,46.0,44.0,19.0,53.0,38.0,24.0,53.0
B,S,29.0,71.0,41.0,47.0,38.0,64.0,47.0,20.0,27.0,48.0
A,S,55.0,,,50.0,,40.0,66.0,62.0,25.0,66.0
,S,40.0,78.0,30.0,40.0,47.0,22.0,74.0,68.0,22.0,62.0
A,C,54.0,,43.0,45.0,,33.0,66.0,59.0,42.0,58.0
B,S,32.0,36.0,48.0,41.0,26.0,18.0,50.0,,35.0,61.0
B,S,40.0,47.0,51.0,,,18.0,52.0,,,50.0
B,－,33.0,72.0,57.0,33.0,,17.0,73.0,,25.0,43.0
B,－,56.0,50.0,43.0,42.0,27.0,53.0,,62.0,19.0,53.0
,B,38.0,47.0,58.0,,46.0,76.0,36.0,54.0,31.0,45.0
B,－,75.0,86.0,51.0,,26.0,41.0,40.0,68.0,28.0,60.0
,B,34.0,59.0,,50.0,32.0,28.0,60.0,41.0,38.0,
A,－,42.0,85.0,22.0,51.0,38.0,24.0,33.0,19.0,30.0,56.0
B,D,,,55.0,44.0,,,56.0,49.0,25.0,53.0
B,C,62.0,57.0,22.0,51.0,39.0,57.0,39.0,,13.0,
A,A,34.0,,,24.0,36.0,,64.0,46.0,57.0,45.0
B,S,66.0,52.0,54.0,46.0,,59.0,55.0,35.0,14.0,
B,S,,30.0,,44.0,30.0,22.0,,20.0,19.0,39.0
B,B,52.0,55.0,46.0,25.0,33.0,27.0,32.0,,31.0,46.0
A,B,,54.0,48.0,47.0,23.0,27.0,19.0,55.0,15.0,37.0
B,C,66.0,59.0,27.0,46.0,,24.0,62.0,48.0,21.0,73.0
A,－,40.0,50.0,,,49.0,31.0,55.0,34.0,43.0,
A,C,54.0,25.0,44.0,32.0,,62.0,65.0,19.0,45.0,58.0
A,D,52.0,68.0,41.0,43.0,50.0,52.0,,57.0,52.0,40.0
A,C,51.0,,49.0,43.0,34.0,,30.0,59.0,,61.0
B,B,,60.0,,44.0,24.0,,,35.0,58.0,51.0
B,D,51.0,71.0,,43.0,,28.0,14.0,69.0,32.0,
,B,,66.0,35.0,45.0,45.0,39.0,40.0,,17.0,63.0
,B,,61.0,33.0,64.0,47.0,,41.0,,18.0,55.0
A,D,73.0,58.0,53.0,,68.0,14.0,31.0,47.0,,63.0
A,－,67.0,,,45.0,63.0,43.0,53.0,,,
C,－,57.0,,38.0,52.0,44.0,17.0,54.0,68.0,,60.0
C,S,65.0,61.0,44.0,,,47.0,32.0,19.0,24.0,30.0
B,D,75.0,58.0,69.0,52.0,37.0,,,73.0,31.0,
B,B,84.0,37.0,,57.0,,,,,31.0,36.0
B,C,64.0,28.0,46.0,29.0,23.0,53.0,51.0,,15.0,69.0
B,S,68.0,47.0,,38.0,36.0,18.0,43.0,64.0,32.0,50.0
B,－,45.0,86.0,61.0,45.0,,17.0,70.0,56.0,10.0,
C,－,,,55.0,56.0,28.0,,,56.0,36.0,57.0
A,－,62.0,59.0,27.0,46.0,28.0,46.0,60.0,49.0,,49.0
A,C,41.0,,31.0,40.0,35.0,,31.0,18.0,,
B,－,27.0,43.0,48.0,,39.0,50.0,,60.0,,
A,D,50.0,39.0,,40.0,,,61.0,45.0,25.0,62.0
A,S,48.0,48.0,49.0,53.0,50.0,28.0,26.0,52.0,14.0,46.0
,D,41.0,61.0,50.0,29.0,56.0,34.0,50.0,59.0,49.0,62.0
A,S,,64.0,26.0,37.0,,53.0,54.0,22.0,32.0,48.0
B,S,63.0,45.0,34.0,46.0,,31.0,74.0,,12.0,
,S,66.0,,43.0,38.0,,57.0,49.0,21.0,19.0,52.0
B,C,40.0,,47.0,46.0,33.0,24.0,52.0,59.0,30.0,50.0
B,－,29.0,,,,31.0,22.0,37.0,54.0,24.0,53.0
B,A,27.0,70.0,,44.0,53.0,48.0,40.0,47.0,29.0,58.0
A,C,42.0,50.0,,49.0,,28.0,55.0,59.0,49.0,44.0
C,B,68.0,67.0,29.0,42.0,34.0,,23.0,,,79.0
A,S,65.0,61.0,,46.0,50.0,22.0,39.0,36.0,18.0,
B,D,48.0,81.0,29.0,,,,41.0,,,55.0
A,B,51.0,,53.0,46.0,37.0,38.0,53.0,27.0,26.0,45.0
B,－,66.0,,38.0,50.0,34.0,33.0,25.0,52.0,26.0,60.0
B,D,45.0,40.0,35.0,,37.0,53.0,74.0,,35.0,62.0
A,D,40.0,,,28.0,48.0,,,,20.0,58.0
B,D,65.0,70.0,57.0,52.0,,43.0,68.0,61.0,,62.0
A,S,38.0,,43.0,26.0,48.0,40.0,46.0,,39.0,44.0
B,D,,,77.0,33.0,32.0,,61.0,50.0,,45.0
B,B,29.0,37.0,,,65.0,,,34.0,20.0,42.0
B,B,59.0,65.0,43.0,45.0,41.0,,54.0,54.0,52.0,51.0
B,S,42.0,30.0,48.0,,34.0,40.0,65.0,,42.0,
A,S,,96.0,,,43.0,,74.0,,15.0,47.0
A,A,37.0,49.0,33.0,32.0,47.0,21.0,46.0,29.0,26.0,75.0
A,－,,50.0,39.0,54.0,23.0,,67.0,51.0,17.0,44.0
B,B,35.0,53.0,60.0,39.0,35.0,38.0,45.0,,36.0,59.0
B,D,29.0,38.0,,36.0,30.0,,44.0,27.0,32.0,63.0
B,D,47.0,,29.0,49.0,44.0,44.0,58.0,68.0,10.0,
B,D,,42.0,52.0,33.0,38.0,,23.0,,,43.0
,A,27.0,29.0,42.0,47.0,20.0,54.0,36.0,62.0,28.0,61.0
B,S,57.0,53.0,55.0,43.0,30.0,,32.0,41.0,13.0,41.0
B,C,27.0,54.0,43.0,28.0,51.0,,59.0,,20.0,44.0
,B,59.0,82.0,50.0,41.0,53.0,41.0,39.0,19.0,,61.0
B,－,29.0,65.0,,33.0,41.0,53.0,52.0,56.0,10.0,65.0
A,－,,34.0,43.0,25.0,63.0,21.0,13.0,,17.0,54.0
A,－,27.0,52.0,43.0,42.0,59.0,31.0,41.0,28.0,63.0,47.0
A,－,45.0,84.0,49.0,32.0,,62.0,30.0,32.0,35.0,54.0
B,D,65.0,42.0,54.0,41.0,,35.0,62.0,46.0,45.0,
,S,69.0,53.0,47.0,63.0,46.0,69.0,60.0,13.0,29.0,76.0
B,－,,60.0,,45.0,35.0,,,,36.0,55.0
B,－,32.0,60.0,22.0,30.0,,,56.0,,22.0,42.0
B,－,57.0,79.0,79.0,49.0,,24.0,,,,52.0
,D,78.0,,42.0,48.0,54.0,27.0,26.0,55.0,20.0,
B,D,38.0,60.0,50.0,42.0,29.0,49.0,51.0,66.0,32.0,69.0
B,－,31.0,37.0,50.0,44.0,54.0,29.0,50.0,65.0,20.0,38.0
,S,51.0,58.0,56.0,53.0,,49.0,53.0,21.0,45.0,49.0
C,－,82.0,56.0,,,,28.0,64.0,38.0,32.0,54.0
B,A,44.0,53.0,22.0,31.0,79.0,36.0,58.0,65.0,10.0,56.0
,S,60.0,53.0,,,30.0,46.0,37.0,,12.0,41.0
B,B,61.0,,,24.0,,18.0,55.0,,39.0,62.0
B,D,41.0,49.0,46.0,52.0,45.0,14.0,50.0,,44.0,
B,D,67.0,42.0,71.0,,11.0,24.0,54.0,,38.0,
C,B,74.0,49.0,,44.0,44.0,,53.0,,,
B,S,47.0,62.0,,29.0,59.0,51.0,45.0,51.0,25.0,57.0
B,C,58.0,,36.0,36.0,21.0,53.0,36.0,64.0,,53.0
C,B,,48.0,45.0,38.0,,53.0,58.0,40.0,38.0,
B,S,43.0,40.0,57.0,50.0,25.0,,,26.0,15.0,37.0
A,D,71.0,44.0,,,39.0,,,57.0,33.0,59.0
B,D,,58.0,40.0,,,17.0,28.0,52.0,10.0,40.0
A,－,66.0,53.0,22.0,39.0,35.0,20.0,33.0,37.0,,47.0
A,D,39.0,69.0,30.0,,,43.0,31.0,39.0,,51.0
B,D,40.0,66.0,46.0,,38.0,32.0,64.0,42.0,50.0,59.0
C,－,35.0,83.0,,44.0,49.0,,67.0,64.0,27.0,50.0
A,－,34.0,24.0,62.0,34.0,42.0,58.0,64.0,55.0,52.0,58.0
B,C,41.0,37.0,49.0,,,49.0,54.0,28.0,44.0,65.0
A,C,54.0,88.0,55.0,44.0,,,46.0,50.0,,36.0
A,A,34.0,43.0,53.0,49.0,55.0,35.0,71.0,,32.0,54.0
B,－,67.0,48.0,22.0,28.0,,,36.0,58.0,27.0,46.0
A,B,40.0,33.0,48.0,63.0,32.0,38.0,71.0,59.0,46.0,38.0
B,B,65.0,29.0,,32.0,25.0,36.0,34.0,25.0,31.0,45.0
A,－,67.0,41.0,,89.0,,26.0,67.0,54.0,33.0,49.0
B,C,38.0,30.0,53.0,38.0,,16.0,46.0,20.0,12.0,53.0
B,－,40.0,53.0,,,,43.0,35.0,52.0,,
B,S,42.0,71.0,50.0,,,,32.0,47.0,14.0,62.0
B,C,38.0,,,33.0,24.0,,41.0,43.0,41.0,75.0
B,A,28.0,43.0,52.0,60.0,36.0,25.0,50.0,68.0,37.0,
B,C,30.0,43.0,,45.0,38.0,34.0,,74.0,28.0,
C,D,47.0,28.0,48.0,43.0,33.0,36.0,30.0,43.0,42.0,
B,D,29.0,53.0,48.0,55.0,45.0,,57.0,,36.0,50.0
B,S,,,,38.0,49.0,,,29.0,36.0,76.0
A,－,53.0,,49.0,34.0,36.0,46.0,67.0,55.0,54.0,61.0
B,－,50.0,45.0,58.0,51.0,,47.0,62.0,27.0,38.0,55.0
B,－,46.0,27.0,,39.0,,56.0,51.0,,,
B,－,46.0,31.0,26.0,53.0,50.0,30.0,,49.0,32.0,63.0
B,－,35.0,48.0,43.0,44.0,45.0,,48.0,15.0,53.0,36.0
B,A,46.0,47.0,48.0,44.0,29.0,37.0,40.0,18.0,35.0,40.0
A,B,55.0,51.0,,50.0,30.0,58.0,,49.0,35.0,79.0
B,C,54.0,52.0,39.0,,45.0,48.0,31.0,52.0,25.0,
A,C,,40.0,,44.0,,38.0,29.0,31.0,,48.0
B,B,55.0,54.0,49.0,42.0,,47.0,,,10.0,60.0
A,D,83.0,67.0,42.0,45.0,45.0,,37.0,47.0,33.0,50.0
A,S,,,,,,56.0,,42.0,54.0,25.0
C,D,74.0,70.0,22.0,55.0,36.0,15.0,,45.0,36.0,45.0
B,B,40.0,59.0,,47.0,40.0,70.0,74.0,65.0,55.0,48.0
B,B,,42.0,42.0,,31.0,45.0,65.0,,25.0,41.0
A,B,56.0,52.0,53.0,42.0,38.0,15.0,37.0,,26.0,79.0
,B,38.0,45.0,43.0,36.0,46.0,59.0,34.0,40.0,10.0,53.0
B,－,46.0,40.0,50.0,40.0,,52.0,,49.0,25.0,59.0
A,D,32.0,84.0,,58.0,35.0,17.0,65.0,40.0,63.0,
C,－,51.0,56.0,,40.0,47.0,65.0,,49.0,51.0,55.0
,－,40.0,57.0,39.0,41.0,52.0,,55.0,32.0,,59.0
B,S,36.0,,26.0,47.0,12.0,51.0,35.0,,11.0,79.0
B,B,,57.0,,48.0,39.0,43.0,56.0,60.0,,57.0
A,－,,58.0,22.0,50.0,40.0,47.0,58.0,59.0,40.0,55.0
A,B,,64.0,53.0,28.0,29.0,,38.0,,16.0,46.0
A,S,59.0,76.0,54.0,45.0,40.0,23.0,63.0,,37.0,58.0
B,D,45.0,56.0,22.0,45.0,11.0,33.0,26.0,,21.0,68.0
B,C,,72.0,50.0,45.0,37.0,54.0,70.0,56.0,,
B,－,58.0,54.0,37.0,38.0,25.0,15.0,54.0,28.0,16.0,45.0
B,A,44.0,55.0,44.0,43.0,43.0,43.0,,43.0,11.0,47.0
,D,82.0,72.0,,48.0,37.0,35.0,49.0,50.0,,
B,B,40.0,92.0,28.0,50.0,34.0,63.0,,68.0,19.0,63.0
A,D,38.0,58.0,60.0,30.0,,71.0,,56.0,30.0,58.0
B,D,,69.0,,,15.0,,32.0,54.0,33.0,55.0
C,B,,58.0,63.0,33.0,,63.0,46.0,36.0,65.0,65.0
A,D,54.0,43.0,49.0,27.0,32.0,51.0,50.0,9.0,30.0,58.0
B,S,27.0,53.0,,,52.0,20.0,52.0,,25.0,59.0
,A,49.0,49.0,,,23.0,15.0,39.0,32.0,11.0,39.0
A,B,,41.0,22.0,53.0,29.0,,48.0,74.0,,62.0
,B,35.0,,64.0,34.0,39.0,,28.0,74.0,34.0,
A,A,74.0,56.0,50.0,41.0,56.0,40.0,,33.0,29.0,
,S,33.0,90.0,53.0,46.0,21.0,44.0,62.0,52.0,,53.0
B,D,46.0,,62.0,61.0,37.0,21.0,,49.0,,63.0
B,C,50.0,45.0,44.0,41.0,38.0,,11.0,42.0,13.0,54.0
C,S,79.0,42.0,46.0,45.0,39.0,30.0,14.0,,26.0,54.0
,A,63.0,,,47.0,48.0,38.0,46.0,49.0,41.0,
,D,,,60.0,54.0,34.0,,65.0,37.0,,56.0
A,－,,63.0,,44.0,33.0,40.0,37.0,,59.0,79.0
A,S,47.0,53.0,50.0,57.0,,32.0,59.0,72.0,20.0,44.0
B,S,63.0,43.0,,83.0,27.0,59.0,74.0,11.0,,54.0
A,－,60.0,88.0,54.0,,,51.0,56.0,,62.0,58.0
A,S,40.0,64.0,,,50.0,28.0,57.0,22.0,22.0,51.0
B,A,32.0,49.0,,31.0,52.0,56.0,,50.0,50.0,60.0
B,D,41.0,57.0,51.0,52.0,,66.0,69.0,,,65.0
B,D,58.0,53.0,50.0,,61.0,,,,37.0,
,B,,83.0,,52.0,40.0,30.0,,25.0,45.0,54.0
B,B,51.0,63.0,69.0,33.0,58.0,59.0,,61.0,,62.0
,D,57.0,44.0,,27.0,69.0,49.0,57.0,57.0,10.0,
A,－,46.0,,,39.0,,21.0,,64.0,47.0,59.0
B,D,78.0,31.0,57.0,,53.0,52.0,43.0,17.0,14.0,
C,C,,44.0,30.0,,36.0,,61.0,44.0,45.0,55.0
,D,38.0,33.0,,,32.0,45.0,32.0,63.0,,40.0
B,－,61.0,43.0,43.0,47.0,53.0,25.0,63.0,42.0,28.0,67.0
B,B,49.0,51.0,,24.0,53.0,19.0,56.0,44.0,11.0,48.0
B,B,36.0,77.0,56.0,,49.0,47.0,68.0,44.0,,
A,C,55.0,46.0,,33.0,34.0,58.0,21.0,45.0,28.0,75.0
,A,60.0,96.0,,28.0,,42.0,48.0,60.0,43.0,46.0
A,B,29.0,32.0,57.0,25.0,33.0,58.0,,27.0,,
A,－,49.0,71.0,56.0,45.0,24.0,37.0,41.0,,,54.0
B,A,64.0,50.0,45.0,50.0,54.0,14.0,65.0,58.0,36.0,53.0
B,A,29.0,49.0,,30.0,37.0,41.0,46.0,20.0,50.0,52.0
B,－,,46.0,39.0,47.0,,42.0,70.0,54.0,45.0,
,－,51.0,31.0,,46.0,11.0,,49.0,50.0,25.0,44.0
B,－,,42.0,,81.0,41.0,55.0,66.0,31.0,22.0,61.0
B,S,41.0,39.0,,45.0,32.0,,64.0,42.0,19.0,
B,D,43.0,87.0,45.0,30.0,,14.0,52.0,65.0,51.0,
B,S,37.0,48.0,46.0,55.0,56.0,28.0,,46.0,40.0,55.0
B,D,34.0,71.0,58.0,52.0,,30.0,11.0,57.0,35.0,74.0
A,A,73.0,75.0,40.0,,32.0,28.0,,62.0,38.0,
B,－,43.0,53.0,27.0,,,39.0,71.0,40.0,32.0,56.0
,S,27.0,40.0,31.0,30.0,45.0,37.0,53.0,39.0,42.0,49.0
B,S,52.0,44.0,,,40.0,,61.0,60.0,,52.0
B,－,,,,,39.0,53.0,21.0,14.0,26.0,
A,D,,65.0,54.0,70.0,11.0,17.0,60.0,11.0,,55.0
B,－,,38.0,49.0,,,73.0,56.0,67.0,47.0,
A,B,74.0,63.0,52.0,56.0,35.0,,72.0,44.0,40.0,50.0
B,S,85.0,74.0,41.0,57.0,50.0,25.0,,34.0,20.0,
A,B,,76.0,44.0,28.0,55.0,47.0,51.0,9.0,14.0,
A,B,38.0,28.0,39.0,42.0,,,45.0,49.0,25.0,63.0
B,S,43.0,,22.0,,,28.0,43.0,50.0,25.0,43.0
B,D,27.0,71.0,59.0,44.0,59.0,,56.0,74.0,14.0,55.0
A,C,,44.0,36.0,38.0,36.0,44.0,49.0,32.0,29.0,53.0
B,A,41.0,48.0,,26.0,27.0,,74.0,31.0,,46.0
C,B,36.0,69.0,27.0,44.0,28.0,42.0,,38.0,34.0,46.0
B,B,83.0,45.0,,42.0,26.0,30.0,45.0,13.0,34.0,
B,B,72.0,93.0,41.0,,68.0,29.0,27.0,69.0,,
B,B,76.0,42.0,24.0,30.0,35.0,58.0,54.0,63.0,31.0,61.0
B,S,55.0,46.0,36.0,25.0,32.0,58.0,40.0,40.0,,62.0
B,C,40.0,,54.0,48.0,71.0,71.0,51.0,69.0,13.0,60.0
,－,47.0,79.0,45.0,,49.0,,,40.0,45.0,
A,S,69.0,36.0,44.0,47.0,40.0,,64.0,60.0,38.0,56.0
A,－,79.0,54.0,34.0,47.0,34.0,,60.0,44.0,24.0,47.0
B,－,33.0,59.0,46.0,34.0,37.0,27.0,39.0,,,63.0
B,A,38.0,50.0,25.0,,32.0,25.0,,60.0,16.0,72.0
B,D,79.0,63.0,46.0,,34.0,45.0,,57.0,50.0,58.0
B,－,49.0,64.0,44.0,,,33.0,59.0,,29.0,
,D,52.0,43.0,52.0,72.0,49.0,42.0,,23.0,,
,D,36.0,,46.0,42.0,,,52.0,28.0,23.0,50.0
B,S,48.0,83.0,,46.0,33.0,53.0,61.0,,,56.0
B,C,47.0,38.0,22.0,46.0,23.0,,57.0,49.0,43.0,73.0
A,－,47.0,66.0,55.0,75.0,27.0,46.0,58.0,10.0,25.0,56.0
B,S,43.0,,40.0,34.0,33.0,41.0,50.0,40.0,,55.0
,B,,71.0,28.0,50.0,24.0,44.0,,33.0,,43.0
B,－,,50.0,66.0,44.0,,56.0,46.0,49.0,,49.0
,A,53.0,75.0,31.0,51.0,43.0,18.0,31.0,,21.0,79.0
A,B,72.0,,29.0,,50.0,,72.0,8.0,24.0,58.0
C,B,40.0,35.0,,51.0,46.0,35.0,65.0,74.0,15.0,54.0
,B,42.0,70.0,49.0,42.0,,66.0,49.0,25.0,23.0,41.0
B,－,45.0,43.0,48.0,,31.0,44.0,36.0,65.0,,60.0
,C,44.0,30.0,50.0,49.0,51.0,,,,53.0,
A,C,,46.0,46.0,74.0,40.0,41.0,,43.0,44.0,51.0
B,－,48.0,77.0,44.0,39.0,,,11.0,33.0,10.0,66.0
,C,68.0,61.0,43.0,52.0,25.0,48.0,37.0,69.0,24.0,
A,B,45.0,64.0,31.0,35.0,34.0,33.0,52.0,46.0,10.0,64.0
A,C,60.0,66.0,41.0,27.0,34.0,23.0,48.0,24.0,,
A,D,35.0,,56.0,29.0,31.0,41.0,59.0,17.0,32.0,
A,C,,65.0,48.0,31.0,53.0,54.0,69.0,63.0,13.0,60.0
B,D,75.0,52.0,,58.0,31.0,14.0,,53.0,34.0,
B,－,58.0,47.0,28.0,47.0,,33.0,33.0,,,55.0
B,S,52.0,59.0,52.0,28.0,41.0,55.0,37.0,,28.0,65.0
B,D,41.0,,57.0,48.0,29.0,,57.0,,,
A,B,,47.0,34.0,51.0,31.0,46.0,62.0,61.0,32.0,56.0
B,A,29.0,72.0,61.0,39.0,38.0,63.0,47.0,54.0,40.0,64.0
B,B,80.0,48.0,31.0,46.0,26.0,54.0,55.0,20.0,57.0,47.0
B,－,38.0,,55.0,,38.0,20.0,61.0,74.0,40.0,53.0
B,－,58.0,63.0,22.0,45.0,22.0,25.0,,,,55.0
B,－,60.0,43.0,53.0,,37.0,,,64.0,10.0,43.0
B,B,,40.0,,45.0,54.0,32.0,45.0,52.0,33.0,40.0
A,D,75.0,,,49.0,35.0,60.0,43.0,41.0,49.0,48.0
,B,72.0,,30.0,57.0,45.0,57.0,30.0,31.0,45.0,51.0
B,D,61.0,,38.0,,27.0,52.0,41.0,53.0,,
B,C,33.0,29.0,34.0,46.0,,34.0,74.0,59.0,,54.0
B,－,52.0,,,,32.0,39.0,,36.0,47.0,
,D,40.0,48.0,51.0,40.0,44.0,27.0,39.0,52.0,38.0,
B,－,,,49.0,32.0,66.0,,,29.0,29.0,44.0
